"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Designing a Digital Shadow for Efficient, Low-Delay Analysis of Production Quality Risk","S. Kropatschek; O. Gert; I. Ayatollahi; K. Meixner; E. Kiesling; A. Steigberger; A. Lüder; S. Biffl","Center for Digital Production; Center for Digital Production; Center for Digital Production; Inst. of Information Sys. Eng. TU Wien; Institute of Data, Process, and Knowledge Engineering, WU Wien, Vienna, Austria; Neuman Aluminium, CAG Holding GmbH, Austria; Center for Digital Production; Center for Digital Production",2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA),"25 Oct 2022","2022","","","1","8","Manufacturers in the automotive industry extensively rely on iterative process Failure Mode and Effects Analysis (FMEA) in their quality management. Process FMEAs model technical impacts based on engineering artifacts. However, traditional process FMEA methods are typically document-centric and do not integrate feedback from the shop floor without significant delay. In this paper, we introduce the Digital Shadow for Production Quality Analysis (DS-PQA) method and system design that integrates feedback from machine components on the shop floor. To this end, the method leverages FMEA and production system engineering models to configure OPC Unified Architecture (OPC UA)-based data acquisition. Based on that data acquisition, the DS-PQA system analyzes data from the shop floor to (i) inform operators on likely causes of a production defect, and (ii) alert FMEA experts about FMEA causes that occur more frequently than expected and should be re-validated. In a feasibility study, we evaluated the effectiveness and efficiency of the DS-PQA method and system on a welding cell that manufactures automotive parts. The study results indicate that the DS-PQA method and system are feasible, more efficient, and can substantially lower the latency for analyzing production quality risk compared to a traditional approach.","","978-1-6654-9996-5","10.1109/ETFA52439.2022.9921582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921582","Production Systems Engineering;Industry 4.0 component;process FMEA;PPR;Digitalization","Machine components;Production systems;Welding;Microprocessors;Data acquisition;Computer architecture;System analysis and design","","3","","24","IEEE","25 Oct 2022","6-9 Sept. 2022","6-9 Sept. 2022","IEEE","IEEE Conferences"
"Sustainable Design of IT Systems with Digital Twins - Principles, Application Areas and Advantages","R. Lutze","Dr.-Ing. Rainer Lutze Consulting, Langenzenn, Germany","2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference","10 Feb 2023","2022","","","1","8","A new approach for the sustainable design of software-intensive IT systems is presented. The approach focusses on endurable IT systems with a long-standing life span. In order to assure a timely market entrance, the design of such systems typically starts long before all innovative components for the future IT system will be commercially available. This will be supported by the systematic utilization of digital twins for the IT systems and its subsystems / critical components, which can substitute and simulate missing entities until they will be available. The pervaded use of digital twins for the complete and persistent coverage of the design phase accompanied by high quality technologic prediction characterizes the presented approach. The proposed methodology is elicited for the design of a cognitive assistant for the elderly based on augmented reality glasses. Such forthcoming hardware devices are estimated as one of the major technologic advancements expected within the next decade; the cognitive assistant will leverage the support for older people by supporting the participation in social and societal communication even in the presence of age-related restrictions.","","978-1-6654-8817-4","10.1109/ICE/ITMC-IAMOT55089.2022.10033240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10033240","sustainable design;digital twin;technology prediction;software-intensive IT systems;cognitive assistant","Systematics;Green design;Glass;Hardware;Digital twins;Older adults;Augmented reality","","1","","29","IEEE","10 Feb 2023","19-23 June 2022","19-23 June 2022","IEEE","IEEE Conferences"
"An Overview of Digital Twin Technology for Power Electronics: State-of-the-Art and Future Trends","C. Wu; Z. Cui; Q. Xia; J. Yue; F. Lyu","School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; College of Electronic and Information Engineering, Tongji University, Shanghai, China; Power Electronics, Machines and Control Research Group, University of Nottingham, Nottingham, U.K.; College of Electronic and Information Engineering, Tongji University, Shanghai, China; State Key Laboratory of Marine Geology, School of Ocean and Earth Science, Tongji University, Shanghai, China",IEEE Transactions on Power Electronics,"25 Jun 2025","2025","40","9","13337","13362","Power electronic systems (PESs) are pivotal in power generation, transmission, and diverse industrial applications. With the increasing shift toward digitalization, digital twin (DT) technology has emerged as a transformative enabler, enhancing the informatization and intelligence of PESs. This article offers a comprehensive overview of DT applications for PESs, highlighting core features of real-time synchronization, accurate mapping, seamless data interaction, and high-fidelity modeling. Four prevalent DT modeling approaches are reviewed, with a detailed discussion of their respective strengths and challenges in the context of PESs. This article further examines the role of DT across three critical lifecycle phases—design, control, and maintenance—illustrating how DT optimizes and drives innovation at each phase. By reviewing more than 170 publications, this study identifies key trends, implementation challenges, and research gaps, offering valuable insights into the state-of-the-art and future directions for DT in PESs. This work aims to serve as a foundational reference for researchers and practitioners, fostering a deep understanding of the potential of DT and providing a comprehensive grasp of the application in academics and the industry.","1941-0107","","10.1109/TPEL.2025.3570638","National Key Research and Development Program of China(grant numbers:2023YFB2905300); National Natural Science Foundation of China(grant numbers:62273259,61936014); Young Talents Sailing Program of Shanghai University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11005593","Design;digital twin (DT);operation control;power electronic systems (PESS);predictive maintenance;prognostics and health management (PHM)","Power electronics;Predictive maintenance;Analytical models;Digital twins;Data models;Monitoring;Maintenance;Predictive models;Microgrids;Artificial intelligence","","12","","172","IEEE","15 May 2025","Sept. 2025","","IEEE","IEEE Journals"
"Semi-Distributed Network Fault Diagnosis Based on Digital Twin Network in Highly Dynamic Heterogeneous Networks","F. Tang; L. Luo; Z. Guo; Y. Li; M. Zhao; N. Kato","School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; Graduate School of Information Sciences (GSIS), Tohoku University, Sendai, Japan",IEEE Transactions on Mobile Computing,"4 Apr 2025","2025","24","5","3979","3992","Highly dynamic heterogeneous networks (HDHNs), characterized by high node mobility and heterogeneity, frequently experience complex and recurrent network faults. Conventional centralized fault diagnosis methods demand real-time collection of extensive network-wide data, while distributed approaches often exhibit limited fault detection capabilities. Additionally, machine learning-based fault diagnosis methods are challenged by the scarcity of labeled fault samples required for training. To address these limitations, this study proposes a semi-distributed network fault diagnosis architecture based on a digital twin network (DTN). The proposed architecture facilitates the extraction of a comprehensive labeled fault dataset that closely replicates real-world network conditions. Using this dataset, we perform centralized training of an enhanced anomaly detection model, FTS-LSTM, to infer fault types at the node level. To overcome the drawbacks of both centralized and distributed approaches, we further introduce a semi-distributed fault diagnosis algorithm (SDFD) that integrates fault types and severity levels identified by nodes to infer overall network faults. The proposed fault diagnosis scheme is validated on a semi-physical DTN simulation platform, demonstrating its effectiveness in realistic scenarios.","1558-0660","","10.1109/TMC.2024.3519576","Changsha Municipal Natural Science Foundation(grant numbers:kq2208284); Natural Science Foundation of Hunan Province(grant numbers:2023jj40774); National Natural Science Foundation of China(grant numbers:62302527); High Performance Computing Center of Central South University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10806770","Dynamic networks;heterogeneous networks;digital twin network;network fault diagnosis;deep learning","Fault diagnosis;Computer architecture;Digital twins;Heterogeneous networks;Real-time systems;Wireless networks;Vehicle dynamics;Mobile computing;Fault detection;Deep learning","","5","","34","IEEE","18 Dec 2024","May 2025","","IEEE","IEEE Journals"
"Utilizing AI-Driven 6G Medical Informatics and Consumer Electronics for Early Injury Classification and Response with a Self-Learning Healthcare Digital Twin","Y. Ning; Z. Wu; Q. Ye","First Affiliated Hospital of Air Force Medical University, Xi’an, Shaanxi, China; First Affiliated Hospital of Air Force Medical University, Xi’an, Shaanxi, China; Teaching and Research Support Center of Air Force Medical University, Xi’an, Shaanxi, China",IEEE Transactions on Consumer Electronics,"","2025","PP","99","1","1","In the realm of proactive medical care, digital twin technology is rising to the forefront as a paradigm shift due to the combination of customised healthcare, 6G connectivity, and artificial intelligence (AI). This study investigates AI-driven, 6G-powered healthcare digital twin technology, focusing on patient-centric monitoring and predictive analytics. It must clearly outline the research objectives, such as real-time health data integration, adaptive decision-making, and improved treatment personalization. The proposed methodology should describe the use of 6G-enabled ultra-reliable low-latency communication, AI models for digital twin construction, and secure data management frameworks. Improved diagnostic accuracy, fast response time to clinical emergencies, and improved resource allocation in healthcare systems were main outcomes that are presented in this abstract. The technical contributions of this work with the integration of AI, 6G, and digital twin technologies are highlighted in the end of this study, and this may support the next-generation intelligent healthcare solutions. For self-learning healthcare digital twin, a model that leverages 6G-enabled medical informatics, real-time data streams, and artificial intelligence (AI) analytics is presented in this study. This presented model may support in clinical diagnosis, and classifying damages earlier. A real-time updated digital copy of the patient was created by the suggested method by integrating multimodal data from various sources including imaging, vital signs, consumer electronic devices such as smartwatches, wearable sensor metrics, and electronic health records (EHRs). The patient physiological patterns and previous injury profiles are constantly learnt by the integration of digital twin and deep learning (DL) algorithms. This integration is effective in predicting the occurrence, kind, and severity of injuries and internal trauma, falls, cardiovascular events, and neurodegenerative insults. The digital twin and healthcare providers are connected seamlessly with 6G communication infrastructure, guaranteeing ultra-low latency and great dependability. This allows for pre-hospital and critical care settings to implement instantaneous feedback loops, as well as for remote diagnostics and adaptive clinical decision-making. From home health monitoring solutions to smartphones and wearables, consumer electronics are ubiquitous and serve as common data collectors, greatly increase access and enabling the instant collection of accurate data using a digital twin. To keep data private while training AI models on dispersed healthcare data, the architecture offers federated learning. Based on severity level, the injury types are classified by a multi-layered decision engine, and this may promote a customized, context-aware responses like alerting emergency teams, modifying treatment regimens, or demanding robotic surgical support. The AI-driven, 6G-powered healthcare digital twin revolutionizes the diagnosis of injury, and it establish a path for a precise, preventive, and predictive medicine. Furthermore, scaling efficiencies were reduced by 95.81%, while reaction times decreased to 96.88%, resulting in significant gains. This technology is particularly helpful for populations who are elderly, at risk, or located far away, as it decreases reaction time, reduces diagnostic error, and provides scalable, continuous care.","1558-4127","","10.1109/TCE.2025.3632401","Research on rapid rescue methods for injuries under information technology conditions(grant numbers:25KJ3C1-0087R); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245549","Personalised medicine;healthcare;early detection;telemedicine;artificial intelligence;injury categorisation;6G medical informatics","Digital twins;Medical services;6G mobile communication;Real-time systems;Artificial intelligence;Consumer electronics;Monitoring;Medical diagnostic imaging;Injuries;Biomedical monitoring","","","","","IEEE","13 Nov 2025","","","IEEE","IEEE Early Access Articles"
"ORBIT-DT: Bridging Simulation and Reality with Digital Twin Design for O-RAN in Beyond 5G Networks","M. Yaqoob; R. Trestian; H. X. Nguyen","London Digital Twin Research Centre, Middlesex University, London; London Digital Twin Research Centre, Middlesex University, London; London Digital Twin Research Centre, Middlesex University, London",2025 IEEE Wireless Communications and Networking Conference (WCNC),"9 May 2025","2025","","","1","6","The increasing diversity of vertical applications in Beyond 5G (B5G) networks has driven widespread adoption of wireless network emulators for developing and evaluating innovative solutions. However, the effectiveness of these solutions heavily depends on the precise parameters configuration, accurate network model design, and the fidelity of the emulation process. Furthermore, achieving real-time resource allocation for heterogeneous traffic remains a significant challenge. To address these complexities, the Open Radio Access Network (O-RAN) concept has gained prominence, leveraging enhanced programmability of RAN functionalities to enable data-driven, intelligent control loops in cellular networks. In this context, we propose ORBIT-DT, an Open RAN-Based Intelligent Twin - Digital Twin, to address the challenges of accurate modeling and resource allocation in B5G networks. Leveraging the open-source Colosseum platform, we design and emulate the ORBIT-DT of POWDER, a publicly available over-the-air sub-6GHz indoor/outdoor testbed. Through extensive experiments, we validate the performance of the proposed ORBIT-DT across various wireless scenarios including eMBB, mMTC, and URLLC slices, comparing it with its Physical Twin (PT). Results demonstrate the ORBIT-DT's ability to support large-scale data collection and achieve a high degree of fidelity, with an average similarity of up to 98.8% in downlink throughput, underscoring its effectiveness as a realistic and reliable representation of the PT.","1558-2612","979-8-3503-6836-9","10.1109/WCNC61545.2025.10978421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10978421","","Accuracy;5G mobile communication;Wireless networks;Open RAN;Ultra reliable low latency communication;Throughput;Reliability engineering;Orbits;Digital twins;Resource management","","","","13","IEEE","9 May 2025","24-27 March 2025","24-27 March 2025","IEEE","IEEE Conferences"
"Enhancing Fault Diagnosis Accuracy in Electric Motors: A Digital Twin Approach with Transformer Model","I. Rosyadi; Y. Y. Nazaruddin; P. I. Siregar","Doctoral Program of Engineering Physics, Faculty of Industrial Technology, Institut Teknologi Bandung, Bandung, Indonesia; Department of Engineering Physics, Instrumentation and Control Research Group, Institut Teknologi Bandung, Bandung, Indonesia; Department of Engineering Physics, Instrumentation and Control Research Group, Institut Teknologi Bandung, Bandung, Indonesia",2024 14th Asian Control Conference (ASCC),"19 Sep 2024","2024","","","1591","1596","This paper explores the integration of Digital Twin (DT) technology and machine learning (ML) techniques for predictive maintenance in electric vehicles (EVs), particularly focusing on fault diagnosis in electric motors (EMs). DT technology, which creates a digital replica of a physical entity, combined with real-time sensor data analytics, offers significant potential for improving the reliability and operational efficiency of EMs under variable and intense conditions. By incorporating advanced ML models like Transformers, which are adept at capturing long-range dependencies, into the DT framework, the study addresses critical challenges in fault diagnosis under non-stationary conditions typical in EVs. The research introduces a novel approach that combines Transformers with convolutional layers to enhance the fault diagnosis capabilities by effectively capturing complex patterns in time-series data. Furthermore, incremental learning is proposed within the DT framework to adapt to evolving environments and maintain high diagnostic performance, aiming for domain invariance in fault diagnosis models. The paper evaluates various deep learning models, including Transformers, FCNs, CNNs, Inception, ResNet, and MLP, across metrics such as accuracy, training duration, and inference time, identifying CNNs and FCNs as optimal due to their balance between performance and processing time. This study not only demonstrates the feasibility of advanced ML techniques in enhancing DT-based fault diagnosis but also provides insights into selecting appropriate models for predictive maintenance applications in EVs, highlighting the potential for future research in adapting these technologies to different datasets and operational scenarios.","2770-8373","978-9-8875-8159-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10665597","digital twin;fault diagnosis;electric motors;deep learning","Fault diagnosis;Deep learning;Training;Adaptation models;Accuracy;Transformers;Digital twins","","","","18","","19 Sep 2024","5-8 July 2024","5-8 July 2024","IEEE","IEEE Conferences"
"Digital Twins as Enablers of Sustainable and Resilient Industry 5.0 Infrastructure: A Review","Mannu; R. Rawat; K. Nagal; R. Sharma","Bharati Vidyapeeth's Institute of Computer Applications and Management, New Delhi, India; Bharati Vidyapeeth's Institute of Computer Applications and Management, New Delhi, India; Bharati Vidyapeeth's Institute of Computer Applications and Management, New Delhi, India; Bharati Vidyapeeth's Institute of Computer Applications and Management, New Delhi, India",2025 12th International Conference on Computing for Sustainable Global Development (INDIACom),"21 Aug 2025","2025","","","1","6","The advent of Industry 5.0 heralds a paradigm shift toward human-centric, sustainable, and resilient industrial systems. Central to this transformation is the integration of Digital Twins (DTs), virtual replicas of physical entities that enable real-time monitoring, predictive analysis, and dynamic decision-making. This paper presents a comprehensive review of the current state and future potential of DTs in facilitating sustainable and resilient infrastructure within Industry 5.0. By synthesizing insights from 60 academic papers, the study explores key applications, including smart manufacturing, urban planning, and supply chain resilience, where DTs optimize resource usage, minimize environmental impact, and enhance operational efficiency. The convergence of enabling technologies such as IoT, AI, blockchain, and edge computing is discussed, highlighting their role in overcoming challenges like data integration, high implementation costs, and cybersecurity risks. Through an in-depth analysis, this paper identifies research gaps and proposes a conceptual framework to advance the adoption of DTs in Industry 5.0, emphasizing their potential to create a sustainable, human-centered industrial future.","","978-93-80544-60-1","10.23919/INDIACom66777.2025.11115543","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11115543","Digital Twins;Industry 5.0;Edge computing;Sustainability;Smart manufacturing","Reviews;Urban planning;Supply chains;Real-time systems;Digital twins;Fifth Industrial Revolution;Sustainable development;Smart manufacturing;Edge computing;Resilience","","","","60","","21 Aug 2025","2-4 April 2025","2-4 April 2025","IEEE","IEEE Conferences"
"Developing a Digital Twin for Testing Multi-Agent Systems in Advanced Air Mobility: A Case Study of Cranfield University and Airport","C. Conrad; Q. Delezenne; A. Mukherjee; A. A. Mhowwala; M. Ahmed; J. Zhao; Y. Xu; A. Tsourdos","Centre for Autonomous and Cyberphysical Systems School of Aerospace, Transport and Manufacturing (SATM), Cranfield University, Cranfield, UK; Centre for Autonomous and Cyberphysical Systems School of Aerospace, Transport and Manufacturing (SATM), Cranfield University, Cranfield, UK; Centre for Autonomous and Cyberphysical Systems School of Aerospace, Transport and Manufacturing (SATM), Cranfield University, Cranfield, UK; Centre for Autonomous and Cyberphysical Systems School of Aerospace, Transport and Manufacturing (SATM), Cranfield University, Cranfield, UK; Centre for Autonomous and Cyberphysical Systems School of Aerospace, Transport and Manufacturing (SATM), Cranfield University, Cranfield, UK; Centre for Autonomous and Cyberphysical Systems School of Aerospace, Transport and Manufacturing (SATM), Cranfield University, Cranfield, UK; Centre for Autonomous and Cyberphysical Systems School of Aerospace, Transport and Manufacturing (SATM), Cranfield University, Cranfield, UK; Centre for Autonomous and Cyberphysical Systems School of Aerospace, Transport and Manufacturing (SATM), Cranfield University, Cranfield, UK",2023 IEEE/AIAA 42nd Digital Avionics Systems Conference (DASC),"10 Nov 2023","2023","","","1","10","Emerging unmanned aircraft system (UAS) and advanced air mobility (AAM) ecosystems rely on the development, certification and deployment of new and potentially intelligent technologies and algorithms. To promote a more efficient development life cycle, this work presents a digital twin architecture and environment to support the rapid prototyping and testing of multi-agent solutions for UAS and AAM applications. It leverages the capabilities of Microsoft AirSim and Cesium as plugins within the Unreal Engine 3D visualisation tool, and consolidates the digital environment with a flexible and scalable Python-based architecture. Moreover, the architecture supports hardware-in-the-loop (HIL) and mixed-reality features for enhanced testing capabilities. The system is comprehensively documented and demonstrated through a series of use cases, deployed within a custom digital environment, comprising both indoor and outdoor areas at Cranfield University and Airport. These include collaborative surveillance, UTM flight authorisation and UTM conformance monitoring experiments, that showcase the modularity, scalability and functionality of the proposed architecture. All 3D models and experimental observations are critically evaluated and shown to exhibit promising results. This thereby represents a critical step forward in the development of a robust digital twin for UAS and AAM applications.","2155-7209","979-8-3503-3357-2","10.1109/DASC58513.2023.10311333","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10311333","Advanced air mobility;AirSim;digital twin;mixed-reality;multi-agent;UAS","Visualization;Solid modeling;Three-dimensional displays;Surveillance;Scalability;Virtual reality;Airports","","9","","19","IEEE","10 Nov 2023","1-5 Oct. 2023","1-5 Oct. 2023","IEEE","IEEE Conferences"
"Supply Chain Digital Twin Framework for Hybrid Manufacturing Strategy Selection: A Case Study from the Semiconductor Industry","A. Ghasemi; S. Lazarova-Molnar; C. Heavey","Institute AIFB, Karlsruhe Institute of Technology, Karlsruhe, Germany; Institute AIFB, Karlsruhe Institute of Technology, Karlsruhe, Germany; CONFIRM Research Centre, School of Engineering, University of Limerick, Limerick, Ireland",2024 Winter Simulation Conference (WSC),"20 Jan 2025","2024","","","2951","2962","Within the Manufacturing Supply Chain planning domain, the integration of Digital Twins as a decisionmaking tool presents a promising development path. This research introduces a novel Supply Chain Digital Twin (SCDT) framework for manufacturing supply chains, specifically tailored to address the manufacturing strategy selection problem at the strategic product level. To demonstrate our proposed SCDT framework, we employ the Business Process Model and Notation (BPMN) as a model-based systems engineering tool. The primary aim of this study is to detail the design and integration of SCDTs within manufacturing supply chain networks, facilitating decisions on manufacturing strategy selection. The practical applicability of our proposed SCDT framework is further demonstrated through a case study in the semiconductor industry, highlighting its utility and potential benefits.","1558-4305","979-8-3315-3420-2","10.1109/WSC63780.2024.10838977","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10838977","","Semiconductor device modeling;Supply chains;Electronics industry;Manufacturing;Digital twins;Planning;Business","","2","","18","IEEE","20 Jan 2025","15-18 Dec. 2024","15-18 Dec. 2024","IEEE","IEEE Conferences"
"Privacy-Enhanced Healthcare Monitoring Service Refreshment in Human Digital Twin-Assisted Fabric Metaverse","Y. Qiu; M. Chen; W. Liang; L. Ai; D. Niyato; G. Wei","School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; Department of Computer Science, City University of Hong Kong, Hong Kong, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; College of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China",IEEE Transactions on Mobile Computing,"3 Oct 2025","2025","24","11","11731","11747","Human digital twin bridges humans with digital avatars in the fabric metaverse, assisting users and healthcare professionals with real-time visualization, analysis, and prediction of personal data sensed by fabric sensors. The human digital twin-assisted healthcare monitoring (HHM) service refreshment refers to sending personal health data to corresponding services hosted on nearby edge servers and receiving the results to update local digital avatars continuously. However, the malicious nature and resource limitations of edge servers may lead to user privacy leaks and refreshment timeout, thereby impacting diagnostics. In this paper, we investigate a novel privacy-enhanced HHM service refreshment maximization problem in the fabric metaverse by considering privacy data encryption, model compression, and personalized user requirements. To this end, we first formulate the above issue as an Integer Linear Programming (ILP) problem, and prove its NP-hardness. Then, a resource scheduler named Wiper is designed, consisting of a shallow-deep distiller and an agile refresher library. To enable efficient inference while preserving user privacy, the former replaces violation modules in existing models with approximations and conducts shallow distillation on model layers to meet operation type and depth limits of homomorphic encryption, and then deep distillation on model parameters to decrease end-to-end refreshment delay. Finally, to satisfy user requirements on accuracy and delay during encrypted refreshments while maximizing the throughput of HHM services in offline and online situations with different problem scales, a series of HHM service refreshment algorithms are merged into the latter, including exact, performance-guaranteed approximation, and residual diffusion reinforcement learning algorithms. Theoretical analyses and experiments demonstrate that our algorithms are promising compared with baseline algorithms.","1558-0660","","10.1109/TMC.2025.3582084","National Social Science Fund of China(grant numbers:23&ZD215); National Research Foundation, Singapore and Infocomm Media Development Authority; Future Communications Research & Development Programme(grant numbers:FCP-NTU-RG-2022-010,FCP-ASTAR-TG-2022-003); Ministry of Education - Singapore(grant numbers:RG87/22,RG24/24); NTU Centre for Computational Technologies in Finance; RIE2025 Industry Alignment Fund - Industry Collaboration Projects(grant numbers:I2301E0026); Alibaba Group NTU Singapore; Alibaba-NTU Global e-Sustainability CorpLab; National Natural Science Foundation of China(grant numbers:62276109); Hong Kong Special Administrative Region, China(grant numbers:CityU 11202723,CityU 11202824,7005845,8730094,9380137); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11045989","Metaverse;human digital twin;edge computing;healthcare monitoring;service refreshment;accuracy;privacy","Fabrics;Digital twins;Delays;Cryptography;Metaverse;Medical services;Computational modeling;Approximation algorithms;Accuracy;Servers","","1","","39","IEEE","23 Jun 2025","Nov. 2025","","IEEE","IEEE Journals"
"Digital Twin Approach Toward Modern Power Systems","S. Choobkar","Faculty of Information and Communication Technologies (ICT) Research Group, Niroo Research Institute, Tehran, Iran","Smart Cyber-Physical Power Systems, Volume 2: Solutions from Emerging Technologies","","2025","","","79","91","Summary <p>Digitalization has been a potent and inevitable trend of the industry revolutions. Digital twin (DT) is a novel and powerful digital tool that is considered as a virtual machine that presents a real‐time virtual model of a physical object or system. It includes a diverse set of technologies such as 5G wireless communication, IoT, cloud computing, AI, and virtual illustration. DT has got a lot of attention and more research is on the go to design DT for further industrial applications.</p> <p>The main goal of this chapter is to discuss DTs approach to intelligent manufacturing and modern power systems. This is projected in the successive three steps (i) After a review of DT concepts and characteristics, DT opportunities and potentials for industry applications are investigated. Examples include smart cities, healthcare, and manufacturing. Furthermore, a review of the enabling technologies to build DT is given, (ii) Integration of computational methods with a vast variety of applications is demonstrated in both CPS and DT systems. In this part, both concepts and their main similarities and differences are specified, (iii) With advances in DT, it offers several improvements and benefits to industries such as smart power grids. DT provides a direction to step outside the physical world, so its different applications in smart power grids can be imagined. In the last part, novelties and suggestions of DT to SG and its main subsystems are proposed.</p>","","9781394334575","10.1002/9781394334599.ch4","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10922842.pdf&bkn=10922799&pdfType=chapter","","Digital twins;Industries;Real-time systems;Monitoring;Power systems;Optimization;Costs;Smart grids;Smart cities;Maintenance","","","","","","11 Mar 2025","","","IEEE","Wiley-IEEE Press eBook Chapters"
"Digital Twin Modeling and Validation of a Gravity Energy Storage System Using Opal-RT","N. Guruwacharya; B. Poudel; S. Pannala; S. Sundeep; Z. Wenrick; L. Sethuraman; D. Akindipe","National Renewable Energy Laboratory, Power Systems Engineering Center, Golden, CO, USA; National Renewable Energy Laboratory, Power Systems Engineering Center, Golden, CO, USA; National Renewable Energy Laboratory, Mech. and Thermal Engineering Sciences, Golden, CO, USA; National Renewable Energy Laboratory, Power Systems Engineering Center, Golden, CO, USA; Renewell Energy, Bakersfield, CA, USA; National Renewable Energy Laboratory, National Wind Technology Center, Golden, CO, USA; National Renewable Energy Laboratory, Energy Conversion and Storage Systems, Golden, CO, USA",2025 IEEE International Communications Energy Conference (INTELEC),"29 Oct 2025","2025","","","199","204","This paper presents the development and validation of a digital twin for a gravity energy storage system that repurposed idle oil wells for long-duration, low-cost, and sustainable energy storage. The system was initially modeled in MATLAB/Simulink and subsequently implemented in the Opal-RT real-time simulation environment. To meet a 50 μs time step for real-time execution, the model was modularized into three functional subsystems, namely, electrical, mechanical, and well dynamics, each deployed on separate processor cores to enable parallel computation. Validation of the digital twin was conducted by comparing Opal-RT simulation results against measurements from a prototype device for one round trip. The real-time simulation replicated the system’s performance, achieving an R2 of 94.59% and a root-mean-square error of 3.65% for grid power during discharging. Notable differences exist during the charging operation, requiring additional diagnosis and root cause analysis. Motor torque demonstrated good agreement with R2, exceeding 99.9%, and with the root-mean-square error below 0.55 Nm. These results confirm the ability of the digital twin models to mimic real-time performance and identify system-level opportunities for performance improvements and optimization of round-trip efficiency.","","979-8-3315-9136-6","10.1109/INTELEC63987.2025.11214731","National Renewable Energy Laboratory; U.S. Department of Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11214731","Digital twin;gravity energy storage system;grid power;Opal-RT simulation;real-time validation","Root cause analysis;Torque;Computational modeling;Simulation;Prototypes;Real-time systems;Mathematical models;Digital twins;Energy storage;Gravity","","","","17","IEEE","29 Oct 2025","12-15 Oct. 2025","12-15 Oct. 2025","IEEE","IEEE Conferences"
